id,sncl_id,metric_id,value,starttime,endtime,datasrc_id,created_at
"12783153","3046","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783154","3046","86","-179.79","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783155","3046","87","-175.698","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783156","3046","88","-162.878","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783157","3046","89","-149.305","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783158","3046","90","-143.406","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783159","3046","91","-119.063","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783160","3046","92","-149.258","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783161","3046","93","-138.328","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783162","3046","94","-133.498","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783163","3046","95","-132.726","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783164","3046","96","-126.641","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783165","3046","98","1.91424691702e-06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783166","3046","97","3.03436911878e-07","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783167","3046","81","1651","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783168","3046","82","228.122705309","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783169","3046","83","208.056841829","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783170","3046","84","-692","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783171","3046","85","959","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783172","3046","79","3605.06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783173","3046","80","3605.06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783174","3046","77","100.001664355","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783175","3046","78","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783176","3046","105","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783177","3046","106","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783178","3046","107","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12783179","3046","108","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:17:25"
"12789772","4060","99","3","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789773","4060","100","1","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789774","4060","101","1","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789775","4060","102","1","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789776","4060","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789777","4060","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789778","4060","86","-100.704","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789779","4060","87","-103.851","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789780","4060","88","-105.641","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789781","4060","89","-107.088","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789782","4060","90","-107.594","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789783","4060","91","-108.437","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789784","4060","92","-117.142","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789785","4060","93","-121.224","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789786","4060","94","-116.569","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789787","4060","95","-102.209","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789788","4060","96","-101.387","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789789","4060","98","1.94444747099e-05","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789790","4060","97","1.62184437025e-06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789791","4060","81","8135","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789792","4060","82","-12623.2352266","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789793","4060","83","27.4777452009","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789794","4060","84","-16943","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789795","4060","85","-8808","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789796","4060","79","7210.11","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789797","4060","80","7210.11","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789798","4060","77","200.003051318","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789799","4060","78","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789800","4060","105","781.55","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789801","4060","106","51.83","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789802","4060","107","9.82","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789803","4060","108","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:17"
"12789964","4099","99","4","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789965","4099","100","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789966","4099","101","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789967","4099","102","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789968","4099","103","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789969","4099","104","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789970","4099","86","-98.7805","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789971","4099","87","-100.802","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789972","4099","88","-102.864","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789973","4099","89","-105.208","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789974","4099","90","-106.492","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789975","4099","91","-109.719","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789976","4099","92","-114.35","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789977","4099","93","-115.855","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789978","4099","94","-115.773","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789979","4099","95","-114.125","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789980","4099","96","-94.1718","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789981","4099","98","1.37996665343e-05","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789982","4099","97","1.4275011909e-06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789983","4099","81","408","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789984","4099","82","5114.70983562","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789985","4099","83","110.571082581","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789986","4099","84","4900","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789987","4099","85","5308","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789988","4099","79","3605.06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789989","4099","80","3605.06","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789990","4099","77","100.001664355","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
"12789991","4099","78","0","2018-02-01 01:00:00","2018-02-01 02:00:00","1","2018-02-01 03:25:30"
